class,row,wallet,time,neighbor,full_probability,without_probability,delta,abs_delta,full_pred,without_pred,flip,support_suspicion,protective
1,1988,126t2Uo8SoUn7djGxjzbENQQbzsfSiiAXf,42,141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,0.911693811416626,0.9841604828834534,-0.07246667146682739,0.07246667146682739,False,True,True,False,True
1,2122,127cyYh7Vc4J8W2PqwWvCtz24YtLdNfbHs,46,38BoHtepsEZyWoCRKKyAe9gKW8wp3aPouM,0.5816118717193604,0.4505622684955597,0.13104960322380066,0.13104960322380066,False,False,False,True,False
1,2915,12BnHTsE9qQWBgSoG3LWGnokKJtS6A1CKE,47,1H7iXk3DJBgqShM3ADiKGggQmqMNUMhogm,0.6588558554649353,0.6851587295532227,-0.026302874088287354,0.026302874088287354,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,14Ni6kMXUbyRrJEXJxibR9qGKj7Pfq4y2C,0.4790336787700653,0.499416321516037,-0.02038264274597168,0.02038264274597168,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,15DfNzRJw5TE7rSftM8gCSSopE7t5M56L3,0.4790336787700653,0.4822937250137329,-0.0032600462436676025,0.0032600462436676025,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,15Nz69Kce3Vi51kTaZGaRJfpugdmLbBQVR,0.4790336787700653,0.478566974401474,0.0004667043685913086,0.0004667043685913086,False,False,False,True,False
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,184ppwACtrAwHtwEunitcDTJTGjtND9zSH,0.4790336787700653,0.48364511132240295,-0.0046114325523376465,0.0046114325523376465,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1BpAh5B7C5xuf3DPfkuedWXsvbtGyUkmdu,0.4790336787700653,0.495981365442276,-0.016947686672210693,0.016947686672210693,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1Dd4oF92npCRg7odtWYyPevo92dQ7CGojK,0.4790336787700653,0.4879501163959503,-0.00891643762588501,0.00891643762588501,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1ESwcSQakENn8PnPesqpvRimPS4UQYAayZ,0.4790336787700653,0.4958776831626892,-0.0168440043926239,0.0168440043926239,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1ETyev2YxXFRRrF3Sb3y4JYKtEE3ftL293,0.4790336787700653,0.4830608665943146,-0.004027187824249268,0.004027187824249268,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1EaF8hf8gWgcACjej4LbKyw4EKCramQmiR,0.4790336787700653,0.49241992831230164,-0.013386249542236328,0.013386249542236328,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1GBVyC4n7ytZJicQjKB7oTD9HmyVvaK5xF,0.4790336787700653,0.4958462715148926,-0.01681259274482727,0.01681259274482727,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1HsfFANHq8KHV3kujDJLThowAT6VkUGunQ,0.4790336787700653,0.48971784114837646,-0.010684162378311157,0.010684162378311157,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1gve4i2TZGTbiKuSTRoGxceyaT6XBxPGg,0.4790336787700653,0.48971784114837646,-0.010684162378311157,0.010684162378311157,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1nyfMgCoecGXCF9RTfVwGkGZYN9V4jCoh,0.4790336787700653,0.4927928149700165,-0.013759136199951172,0.013759136199951172,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,39sfuA8pY4UfybgEZi7uvA13jkGzZpsg5K,0.4790336787700653,0.4134170114994049,0.0656166672706604,0.0656166672706604,False,False,False,True,False
1,8614,12j3zc9YSxnRfnQ4iZBvW9zEDv2hqXyD8s,42,12cgpFdJViXbwHbhrA3TuW1EGnL25Zqc3P,0.12985989451408386,0.9192250370979309,-0.789365142583847,0.789365142583847,False,False,False,False,True
1,12115,1347PE3ZDokSsE2Ws1ZvtftPXCuR4NjJsQ,48,12gF9EAmod9AynTNtQGVtdF9o7nxMSviYE,0.23009297251701355,0.26221662759780884,-0.03212365508079529,0.03212365508079529,False,False,False,False,True
1,12115,1347PE3ZDokSsE2Ws1ZvtftPXCuR4NjJsQ,48,14X9cD2o4UW5NgwGWG13FiwAMiMcmN4CS4,0.23009297251701355,0.22733354568481445,0.0027594268321990967,0.0027594268321990967,False,False,False,True,False
1,14814,13JWuN6LG2PJvceiYm98vmMce5SudJbFBS,43,17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,0.09095118194818497,0.07952321320772171,0.011427968740463257,0.011427968740463257,False,False,False,True,False
1,14814,13JWuN6LG2PJvceiYm98vmMce5SudJbFBS,43,1D428KQ1afeNyjmjbj5WtgVsf2ZxjRPYWh,0.09095118194818497,0.10395744442939758,-0.013006262481212616,0.013006262481212616,False,False,False,False,True
1,14814,13JWuN6LG2PJvceiYm98vmMce5SudJbFBS,43,1N52wHoVR79PMDishab2XmRHsbekCdGquK,0.09095118194818497,0.15353886783123016,-0.0625876858830452,0.0625876858830452,False,False,False,False,True
1,14814,13JWuN6LG2PJvceiYm98vmMce5SudJbFBS,43,1NS3TYf1EijKLwFeqQtUR9CTLQpkCMpxZx,0.09095118194818497,0.08851706981658936,0.0024341121315956116,0.0024341121315956116,False,False,False,True,False
1,14814,13JWuN6LG2PJvceiYm98vmMce5SudJbFBS,43,1Q8QKMwnc4uSVWJrLrsXtjVtkpY5KS3vtj,0.09095118194818497,0.08628822863101959,0.004662953317165375,0.004662953317165375,False,False,False,True,False
1,15780,13PmbNyNJSWYZaCFY9XAkLSgydDmpf9bdo,42,178FWZR2yXxSCL2V2coJZXF2zVVvh13fdQ,0.09074331074953079,0.28836244344711304,-0.19761913269758224,0.19761913269758224,False,False,False,False,True
1,16202,13Rzqhwyw5i79r1LWwRyQQceRoQMS1me1n,49,122cArGCaKzoAj7dsf7KH2tdhhejy23n7r,0.9816858768463135,0.9884390234947205,-0.006753146648406982,0.006753146648406982,True,True,False,False,True
1,16202,13Rzqhwyw5i79r1LWwRyQQceRoQMS1me1n,49,16FTZ3gTGqLZo5eV2zqkQwdn7oTsAnwTb4,0.9816858768463135,0.9779173135757446,0.0037685632705688477,0.0037685632705688477,True,True,False,True,False
1,16202,13Rzqhwyw5i79r1LWwRyQQceRoQMS1me1n,49,1KEz8TcfKPeq8qA3dPhFmTQx2umyh2yRDa,0.9816858768463135,0.9847550392150879,-0.003069162368774414,0.003069162368774414,True,True,False,False,True
1,16276,13SU1RUHwiYYhHL1K6PXrj69KhxuEE6Bw2,49,1959snj1ovEnJP6ce9Aav2RuxDhZQEoCyh,0.0058481087908148766,0.010780971497297287,-0.00493286270648241,0.00493286270648241,False,False,False,False,True
1,22563,141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,42,122njJc1zCSPDHcFVWSQdT3ogzcxjR6Lop,0.6915785670280457,0.7040209770202637,-0.012442409992218018,0.012442409992218018,False,False,False,False,True
1,22563,141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,42,12cgpFdJViXbwHbhrA3TuW1EGnL25Zqc3P,0.6915785670280457,0.7506219744682312,-0.05904340744018555,0.05904340744018555,False,False,False,False,True
1,22563,141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,42,13dB5rpANbJjznNF7zDL7jFGzznc3SK3aU,0.6915785670280457,0.6671062111854553,0.024472355842590332,0.024472355842590332,False,False,False,True,False
1,22563,141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,42,13vHWR3iLsHeYwT42RnuKYNBoVPrKKZgRv,0.6915785670280457,0.6784384250640869,0.01314014196395874,0.01314014196395874,False,False,False,True,False
1,22563,141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,42,14MwKXt77b5HiVmXXwbDjaV3UTDwUgQuZ9,0.6915785670280457,0.7555351853370667,-0.063956618309021,0.063956618309021,False,False,False,False,True
