class,row,wallet,time,neighbor,full_probability,without_probability,delta,abs_delta,full_pred,without_pred,flip,risk_increasing,protective
1,1988,126t2Uo8SoUn7djGxjzbENQQbzsfSiiAXf,42,141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,0.6196354627609253,0.9756718277931213,-0.35603636503219604,0.35603636503219604,False,True,True,False,True
1,2122,127cyYh7Vc4J8W2PqwWvCtz24YtLdNfbHs,46,38BoHtepsEZyWoCRKKyAe9gKW8wp3aPouM,0.6638036966323853,0.1341162919998169,0.5296874046325684,0.5296874046325684,False,False,False,True,False
1,2915,12BnHTsE9qQWBgSoG3LWGnokKJtS6A1CKE,47,1H7iXk3DJBgqShM3ADiKGggQmqMNUMhogm,0.5029497146606445,0.7933729290962219,-0.2904232144355774,0.2904232144355774,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,14Ni6kMXUbyRrJEXJxibR9qGKj7Pfq4y2C,0.1625577062368393,0.18216654658317566,-0.019608840346336365,0.019608840346336365,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,15DfNzRJw5TE7rSftM8gCSSopE7t5M56L3,0.1625577062368393,0.17589442431926727,-0.013336718082427979,0.013336718082427979,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,15Nz69Kce3Vi51kTaZGaRJfpugdmLbBQVR,0.1625577062368393,0.18453992903232574,-0.02198222279548645,0.02198222279548645,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,184ppwACtrAwHtwEunitcDTJTGjtND9zSH,0.1625577062368393,0.17965064942836761,-0.01709294319152832,0.01709294319152832,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1BpAh5B7C5xuf3DPfkuedWXsvbtGyUkmdu,0.1625577062368393,0.17888487875461578,-0.01632717251777649,0.01632717251777649,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1Dd4oF92npCRg7odtWYyPevo92dQ7CGojK,0.1625577062368393,0.17651434242725372,-0.013956636190414429,0.013956636190414429,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1ESwcSQakENn8PnPesqpvRimPS4UQYAayZ,0.1625577062368393,0.1785339117050171,-0.015976205468177795,0.015976205468177795,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1ETyev2YxXFRRrF3Sb3y4JYKtEE3ftL293,0.1625577062368393,0.18010547757148743,-0.017547771334648132,0.017547771334648132,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1EaF8hf8gWgcACjej4LbKyw4EKCramQmiR,0.1625577062368393,0.18107610940933228,-0.01851840317249298,0.01851840317249298,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1GBVyC4n7ytZJicQjKB7oTD9HmyVvaK5xF,0.1625577062368393,0.1784278303384781,-0.015870124101638794,0.015870124101638794,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1HsfFANHq8KHV3kujDJLThowAT6VkUGunQ,0.1625577062368393,0.18273451924324036,-0.020176813006401062,0.020176813006401062,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1gve4i2TZGTbiKuSTRoGxceyaT6XBxPGg,0.1625577062368393,0.1827000081539154,-0.02014230191707611,0.02014230191707611,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,1nyfMgCoecGXCF9RTfVwGkGZYN9V4jCoh,0.1625577062368393,0.1858239471912384,-0.02326624095439911,0.02326624095439911,False,False,False,False,True
1,7437,12ccSQ7vJZTXgQRkyVwTQGhFKaiqK14uAw,49,39sfuA8pY4UfybgEZi7uvA13jkGzZpsg5K,0.1625577062368393,0.11053860187530518,0.05201910436153412,0.05201910436153412,False,False,False,True,False
1,8614,12j3zc9YSxnRfnQ4iZBvW9zEDv2hqXyD8s,42,12cgpFdJViXbwHbhrA3TuW1EGnL25Zqc3P,0.978352427482605,0.9505428075790405,0.027809619903564453,0.027809619903564453,True,True,False,True,False
1,12115,1347PE3ZDokSsE2Ws1ZvtftPXCuR4NjJsQ,48,12gF9EAmod9AynTNtQGVtdF9o7nxMSviYE,0.10314372926950455,0.13689318299293518,-0.033749453723430634,0.033749453723430634,False,False,False,False,True
1,12115,1347PE3ZDokSsE2Ws1ZvtftPXCuR4NjJsQ,48,14X9cD2o4UW5NgwGWG13FiwAMiMcmN4CS4,0.10314372926950455,0.12838095426559448,-0.025237224996089935,0.025237224996089935,False,False,False,False,True
1,14814,13JWuN6LG2PJvceiYm98vmMce5SudJbFBS,43,17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,0.2366171032190323,0.3026089370250702,-0.0659918338060379,0.0659918338060379,False,False,False,False,True
1,14814,13JWuN6LG2PJvceiYm98vmMce5SudJbFBS,43,1D428KQ1afeNyjmjbj5WtgVsf2ZxjRPYWh,0.2366171032190323,0.15441285073757172,0.08220425248146057,0.08220425248146057,False,False,False,True,False
1,14814,13JWuN6LG2PJvceiYm98vmMce5SudJbFBS,43,1N52wHoVR79PMDishab2XmRHsbekCdGquK,0.2366171032190323,0.31703996658325195,-0.08042286336421967,0.08042286336421967,False,False,False,False,True
1,14814,13JWuN6LG2PJvceiYm98vmMce5SudJbFBS,43,1NS3TYf1EijKLwFeqQtUR9CTLQpkCMpxZx,0.2366171032190323,0.23718313872814178,-0.0005660355091094971,0.0005660355091094971,False,False,False,False,True
1,14814,13JWuN6LG2PJvceiYm98vmMce5SudJbFBS,43,1Q8QKMwnc4uSVWJrLrsXtjVtkpY5KS3vtj,0.2366171032190323,0.24004361033439636,-0.0034265071153640747,0.0034265071153640747,False,False,False,False,True
1,15780,13PmbNyNJSWYZaCFY9XAkLSgydDmpf9bdo,42,178FWZR2yXxSCL2V2coJZXF2zVVvh13fdQ,0.1867169886827469,0.24993844330310822,-0.06322145462036133,0.06322145462036133,False,False,False,False,True
1,16202,13Rzqhwyw5i79r1LWwRyQQceRoQMS1me1n,49,122cArGCaKzoAj7dsf7KH2tdhhejy23n7r,0.9483809471130371,0.9726462364196777,-0.024265289306640625,0.024265289306640625,True,True,False,False,True
1,16202,13Rzqhwyw5i79r1LWwRyQQceRoQMS1me1n,49,16FTZ3gTGqLZo5eV2zqkQwdn7oTsAnwTb4,0.9483809471130371,0.9295876026153564,0.018793344497680664,0.018793344497680664,True,False,True,True,False
1,16202,13Rzqhwyw5i79r1LWwRyQQceRoQMS1me1n,49,1KEz8TcfKPeq8qA3dPhFmTQx2umyh2yRDa,0.9483809471130371,0.9513317346572876,-0.0029507875442504883,0.0029507875442504883,True,True,False,False,True
1,16276,13SU1RUHwiYYhHL1K6PXrj69KhxuEE6Bw2,49,1959snj1ovEnJP6ce9Aav2RuxDhZQEoCyh,0.24671122431755066,0.01248703058809042,0.23422419372946024,0.23422419372946024,False,False,False,True,False
1,22563,141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,42,122njJc1zCSPDHcFVWSQdT3ogzcxjR6Lop,0.6287474036216736,0.6002021431922913,0.028545260429382324,0.028545260429382324,False,False,False,True,False
1,22563,141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,42,12cgpFdJViXbwHbhrA3TuW1EGnL25Zqc3P,0.6287474036216736,0.6397029757499695,-0.010955572128295898,0.010955572128295898,False,False,False,False,True
1,22563,141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,42,13dB5rpANbJjznNF7zDL7jFGzznc3SK3aU,0.6287474036216736,0.6168931722640991,0.011854231357574463,0.011854231357574463,False,False,False,True,False
1,22563,141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,42,13vHWR3iLsHeYwT42RnuKYNBoVPrKKZgRv,0.6287474036216736,0.6351048946380615,-0.0063574910163879395,0.0063574910163879395,False,False,False,False,True
1,22563,141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,42,14MwKXt77b5HiVmXXwbDjaV3UTDwUgQuZ9,0.6287474036216736,0.6097504496574402,0.0189969539642334,0.0189969539642334,False,False,False,True,False
1,22563,141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,42,15jeVC5uRRTDxqXPMV8fwqCN4mmkHS6F4y,0.6287474036216736,0.6622028350830078,-0.03345543146133423,0.03345543146133423,False,False,False,False,True
1,22563,141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,42,17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,0.6287474036216736,0.663098931312561,-0.03435152769088745,0.03435152769088745,False,False,False,False,True
1,22563,141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,42,17my9ExMmuyCBGSpC42jW7K1KPbCMEBnaL,0.6287474036216736,0.5603770017623901,0.06837040185928345,0.06837040185928345,False,False,False,True,False
1,22563,141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,42,1N52wHoVR79PMDishab2XmRHsbekCdGquK,0.6287474036216736,0.6362831592559814,-0.007535755634307861,0.007535755634307861,False,False,False,False,True
1,24386,14BQ4Eq3ZZFFfFmKiuasmhtvWudUP6TiS4,49,3CXr8guRrcA8g9z9rqck87e7nv49KkKMKy,0.9896631836891174,0.9746717810630798,0.014991402626037598,0.014991402626037598,True,True,False,True,False
1,25128,14FLkudvztaUJzCatbPJi3WLigZLcYvs5H,44,3MMCb1DofhUKEpf4aGGs4rDj9QJs1HCrEJ,0.9888083338737488,0.9963733553886414,-0.007565021514892578,0.007565021514892578,True,True,False,False,True
1,27749,14VRpuLS5CwmSAn58oQAxoTWqxxpuTdcuU,49,187d6gWrsbnbigNN7KJVt5myqjtFjnF9hv,0.7431687116622925,0.7218949794769287,0.02127373218536377,0.02127373218536377,False,False,False,True,False
1,28246,14YG9rrGghL77Ro7XcB3R9SjAvJMQpA8cZ,49,38DgnT18UXQQVc4cgA9dtixybt4BPVuc1C,0.981055498123169,0.9961728453636169,-0.015117347240447998,0.015117347240447998,True,True,False,False,True
1,34673,158V6NJbeV4LJWv1h9ajFJSiCmPav8dd1z,49,38DgnT18UXQQVc4cgA9dtixybt4BPVuc1C,0.9809818267822266,0.9961658716201782,-0.01518404483795166,0.01518404483795166,True,True,False,False,True
1,35991,15FkN73MjCXkfWnyWWw6phiTpwrUMRYXqF,49,17mqVbK2EuEbq3qUJbG84aB6MiYcDMSdXD,0.3551219403743744,0.36770305037498474,-0.012581110000610352,0.012581110000610352,False,False,False,False,True
